X1	X2	X3	X4	p_adjusted	X5	X6
50	ENST00000310463	cervus_elaphus	4e-10	2.3e-08	4.21065679012346e-06	ENSG00000152076	CCDC74B
51	ENST00000313566	cervus_elaphus	2.3e-09	1.611e-07	2.39225363636364e-05	ENSG00000100478	AP4S1
52	ENST00000315005	cervus_elaphus	3.1e-09	1.679e-07	2.4682979e-05	ENSG00000161692	DBF4B
53	ENST00000316059	cervus_elaphus	5.1282e-06	0.0003948678	0.0271259417186916	ENSG00000186660	ZFP91
54	ENST00000320785	cervus_elaphus	0	0	0	ENSG00000129250	KIF1C
55	ENST00000321420	cervus_elaphus	4.3e-08	2.9682e-06	0.000338259753488372	ENSG00000178171	AMER3
56	ENST00000322002	cervus_elaphus	1.11e-08	7.19e-07	9.43751696428572e-05	ENSG00000176887	SOX11
57	ENST00000325425	cervus_elaphus	8.9e-09	4.285e-07	5.83275787037037e-05	ENSG00000162572	SCNN1D
58	ENST00000327968	cervus_elaphus	4.6848e-06	0.0002155022	0.015840489211	ENSG00000184735	DDX53
59	ENST00000328828	cervus_elaphus	3.7366e-06	0.0002391453	0.0172337012514706	ENSG00000183476	SH2D7
60	ENST00000329291	cervus_elaphus	9.6e-08	4.9904e-06	0.000551608048120301	ENSG00000185220	PGBD2
61	ENST00000331272	cervus_elaphus	1.4e-09	1.024e-07	1.56810666666667e-05	ENSG00000107829	FBXW4
62	ENST00000331437	cervus_elaphus	6.1229e-06	0.0004224834	0.0288880393646512	ENSG00000183307	TMEM121B
63	ENST00000334306	cervus_elaphus	0	0	0	ENSG00000186212	SOWAHB
64	ENST00000334956	cervus_elaphus	3.4483e-06	0.0002517252	0.0179641367242718	ENSG00000197702	PARVA
65	ENST00000337323	cervus_elaphus	4.444e-06	0.0002133136	0.0157878323713568	ENSG00000127377	CRYGN
66	ENST00000338875	cervus_elaphus	1.7041e-06	0.0001090599	0.00861983650483871	ENSG00000187821	HELT
67	ENST00000339471	cervus_elaphus	3.68e-08	1.6189e-06	0.000197345738016529	ENSG00000105193	RPS16
68	ENST00000341413	cervus_elaphus	0	0	0	ENSG00000103253	HAGHL
69	ENST00000341458	cervus_elaphus	3.471e-07	2.3951e-05	0.00223313772658228	ENSG00000101049	SGK2
70	ENST00000341689	cervus_elaphus	3.429e-07	2.40008e-05	0.00223313772658228	ENSG00000187806	TMEM202
71	ENST00000342771	cervus_elaphus	0	0	0	ENSG00000158321	AUTS2
72	ENST00000343017	cervus_elaphus	1e-10	9.9e-09	2.04985774647887e-06	ENSG00000178996	SNX18
73	ENST00000343262	cervus_elaphus	1.9e-09	1.344e-07	2.01613714285714e-05	ENSG00000140988	RPS2
74	ENST00000343625	cervus_elaphus	1e-09	7.86e-08	1.25427680851064e-05	ENSG00000105122	RASAL3
75	ENST00000346991	cervus_elaphus	1.775e-07	1.10056e-05	0.0011081734630137	ENSG00000137812	KNL1
76	ENST00000347230	cervus_elaphus	5e-10	3.58e-08	6.34091325301205e-06	ENSG00000072121	ZFYVE26
77	ENST00000348564	cervus_elaphus	1.09e-08	6.881e-07	9.11329558558559e-05	ENSG00000081237	PTPRC
78	ENST00000355341	cervus_elaphus	0	0	0	ENSG00000166140	ZFYVE19
79	ENST00000356107	cervus_elaphus	0	0	0	ENSG00000104067	TJP1
80	ENST00000360482	cervus_elaphus	1.28522e-05	0.0006297571	0.0411469294537778	ENSG00000134668	SPOCD1
81	ENST00000360589	cervus_elaphus	3e-10	2.13e-08	3.96368734177215e-06	ENSG00000144031	ANKRD53
82	ENST00000361367	cervus_elaphus	8.4315e-06	0.0006155012	0.0405761575838565	ENSG00000198730	CTR9
83	ENST00000361722	cervus_elaphus	0	0	0	ENSG00000198933	TBKBP1
84	ENST00000361731	cervus_elaphus	2.0618e-06	0.0001154622	0.00902877554361702	ENSG00000198818	SFT2D1
85	ENST00000366722	cervus_elaphus	6e-10	4.58e-08	7.92124470588235e-06	ENSG00000143774	GUK1
86	ENST00000367573	cervus_elaphus	4.2e-09	3.128e-07	4.42160846153846e-05	ENSG00000198216	CACNA1E
87	ENST00000368317	cervus_elaphus	8.4714e-06	0.0005591152	0.0371925454986425	ENSG00000146374	RSPO3
88	ENST00000368468	cervus_elaphus	0	0	0	ENSG00000111885	MAN1A1
89	ENST00000368586	cervus_elaphus	8.6558e-06	0.0005366625	0.0360250018835616	ENSG00000171811	CFAP46
90	ENST00000369732	cervus_elaphus	7.71e-07	4.47175e-05	0.0039601925753012	ENSG00000085465	OVGP1
91	ENST00000370179	cervus_elaphus	2.1e-09	1.34e-07	2.01613714285714e-05	ENSG00000125534	PPDPF
92	ENST00000371471	cervus_elaphus	3.3755e-06	0.0002464129	0.0176708099653659	ENSG00000171940	ZNF217
93	ENST00000371958	cervus_elaphus	0	0	0	ENSG00000126016	AMOT
94	ENST00000372726	cervus_elaphus	9.64e-08	6.8472e-06	0.000713905582978723	ENSG00000124251	TP53TG5
95	ENST00000373231	cervus_elaphus	2.71e-08	1.9482e-06	0.000230335268	ENSG00000124780	KCNK17
96	ENST00000373884	cervus_elaphus	0	6e-10	1.54747368421053e-07	ENSG00000158156	XKR8
97	ENST00000375135	cervus_elaphus	0	0	0	ENSG00000102302	FGD1
98	ENST00000375718	cervus_elaphus	0	0	0	ENSG00000173641	HSPB7
99	ENST00000375774	cervus_elaphus	4.374e-07	2.09947e-05	0.00199124570774194	ENSG00000153487	ING1
100	ENST00000377340	cervus_elaphus	6.2158e-06	0.0003853799	0.0265984502812207	ENSG00000101343	CRNKL1
101	ENST00000377687	cervus_elaphus	1.8421e-06	0.0001344758	0.0104048880831579	ENSG00000102554	KLF5
102	ENST00000378625	cervus_elaphus	2e-10	9.9e-09	2.04985774647887e-06	ENSG00000008130	NADK
103	ENST00000379409	cervus_elaphus	0	0	0	ENSG00000187583	PLEKHN1
104	ENST00000379938	cervus_elaphus	0	0	0	ENSG00000124782	RREB1
105	ENST00000379996	cervus_elaphus	2.35e-08	1.6243e-06	0.000197345738016529	ENSG00000008086	CDKL5
106	ENST00000381033	cervus_elaphus	0	1e-10	2.67290909090909e-08	ENSG00000139515	PDX1
107	ENST00000381135	cervus_elaphus	0	0	0	ENSG00000159200	RCAN1
108	ENST00000381588	cervus_elaphus	0	0	0	ENSG00000127870	RNF6
109	ENST00000381624	cervus_elaphus	0	0	0	ENSG00000174898	CATSPERD
110	ENST00000381775	cervus_elaphus	0	8e-10	2.02772413793103e-07	ENSG00000130592	LSP1
111	ENST00000382252	cervus_elaphus	1.26708e-05	0.0007222348	0.0467734528405286	ENSG00000205903	ZNF316
112	ENST00000382985	cervus_elaphus	9.5377e-06	0.0006294914	0.0411469294537778	ENSG00000165792	METTL17
113	ENST00000388942	cervus_elaphus	1.71e-08	1.2632e-06	0.00015872054017094	ENSG00000169758	TMEM266
114	ENST00000389554	cervus_elaphus	1.037e-07	7.0528e-06	0.000730163470422535	ENSG00000136535	TBR1
115	ENST00000392197	cervus_elaphus	0	0	0	ENSG00000011590	ZBTB32
116	ENST00000393733	cervus_elaphus	9e-10	5.51e-08	9.20483068181818e-06	ENSG00000105364	MRPL4
117	ENST00000393794	cervus_elaphus	1.2552e-06	7.15469e-05	0.00601034843942857	ENSG00000005075	POLR2J
118	ENST00000394299	cervus_elaphus	2.2345e-06	0.0001675862	0.0127652058352332	ENSG00000147257	GPC3
119	ENST00000394980	cervus_elaphus	7.4785e-06	0.0005459272	0.0364803443963636	ENSG00000138722	MMRN1
120	ENST00000395468	cervus_elaphus	3e-10	2.32e-08	4.21065679012346e-06	ENSG00000168175	MAPK1IP1L
121	ENST00000396720	cervus_elaphus	0	0	0	ENSG00000063169	BICRA
122	ENST00000398665	cervus_elaphus	2e-10	1.42e-08	2.78338933333333e-06	ENSG00000104885	DOT1L
123	ENST00000400191	cervus_elaphus	3.666e-07	2.60291e-05	0.002391586244375	ENSG00000133216	EPHB2
124	ENST00000402696	cervus_elaphus	7.0058e-06	0.000308255	0.0214770462322275	ENSG00000091513	TF
125	ENST00000404286	cervus_elaphus	3.6198e-06	0.0002244267	0.0163331530529703	ENSG00000169026	SLC49A3
126	ENST00000405356	cervus_elaphus	4.22e-08	3.2053e-06	0.000359703170229008	ENSG00000166197	NOLC1
127	ENST00000407263	cervus_elaphus	2.568e-07	1.66947e-05	0.00162535619006623	ENSG00000011105	TSPAN9
128	ENST00000408042	cervus_elaphus	5.014e-07	3.86089e-05	0.00346091121280488	ENSG00000089177	KIF16B
129	ENST00000408907	cervus_elaphus	0	1.6e-09	3.7938064516129e-07	ENSG00000222028	PSMB11
130	ENST00000409719	cervus_elaphus	0	6e-10	1.54747368421053e-07	ENSG00000125611	CHCHD5
131	ENST00000410097	cervus_elaphus	1.6753e-06	0.0001072221	0.00852038968702703	ENSG00000138382	METTL5
132	ENST00000413459	cervus_elaphus	0	0	0	ENSG00000162066	AMDHD2
133	ENST00000418404	cervus_elaphus	0	0	0	ENSG00000006788	MYH13
134	ENST00000418460	cervus_elaphus	6.9318e-06	0.0002772737	0.0194825702547619	ENSG00000212916	MAP10
135	ENST00000420124	cervus_elaphus	0	0	0	ENSG00000272333	KMT2B
136	ENST00000422063	cervus_elaphus	1.531e-07	1.14823e-05	0.00114830811088435	ENSG00000003147	ICA1
137	ENST00000422452	cervus_elaphus	0	0	0	ENSG00000009694	TENM1
138	ENST00000422563	cervus_elaphus	4.032e-07	1.93549e-05	0.00184763886298701	ENSG00000184206	GOLGA6L4
139	ENST00000422602	cervus_elaphus	1.614e-07	1.22681e-05	0.00121860363581081	ENSG00000039523	RIPOR1
140	ENST00000423902	cervus_elaphus	1e-10	4.7e-09	1.04688939393939e-06	ENSG00000171316	CHD7
141	ENST00000425054	cervus_elaphus	8.4e-08	5.5458e-06	0.000608423923880597	ENSG00000095981	KCNK16
142	ENST00000426633	cervus_elaphus	1e-09	7.48e-08	1.20838989010989e-05	ENSG00000231925	TAPBP
143	ENST00000427197	cervus_elaphus	1.06e-07	7.5291e-06	0.000774023070629371	ENSG00000176273	SLC35G1
144	ENST00000428459	cervus_elaphus	1.1494e-06	7.70122e-05	0.00639636357175141	ENSG00000186010	NDUFA13
145	ENST00000431515	cervus_elaphus	0	1e-10	2.67290909090909e-08	ENSG00000127564	PKMYT1
146	ENST00000434263	cervus_elaphus	0	0	0	ENSG00000182732	RGS6
147	ENST00000434748	cervus_elaphus	1.6544e-06	0.0001025753	0.00828549167747253	ENSG00000112787	FBRSL1
148	ENST00000434813	cervus_elaphus	1.0226e-06	6.54486e-05	0.00556161773757225	ENSG00000013441	CLK1
149	ENST00000438480	cervus_elaphus	6.305e-07	4.28719e-05	0.00381975637515151	ENSG00000188981	MSANTD1
150	ENST00000439741	cervus_elaphus	3.571e-06	0.0002606823	0.0184244735206731	ENSG00000014914	MTMR11
151	ENST00000441801	cervus_elaphus	6.4e-09	4.484e-07	5.99266218181818e-05	ENSG00000162458	FBLIM1
152	ENST00000442561	cervus_elaphus	3.824e-07	2.79137e-05	0.00254881555093168	ENSG00000122188	LAX1
153	ENST00000444133	cervus_elaphus	1.26e-08	7.668e-07	9.88835684210526e-05	ENSG00000144559	TAMM41
154	ENST00000444676	cervus_elaphus	5e-10	4.03e-08	7.05297976190476e-06	ENSG00000105953	OGDH
155	ENST00000449131	cervus_elaphus	3.7e-09	2.192e-07	3.19055366336634e-05	ENSG00000167995	BEST1
156	ENST00000450966	cervus_elaphus	7.812e-07	5.62486e-05	0.00488531525294118	ENSG00000085982	USP40
157	ENST00000451172	cervus_elaphus	2.617e-07	1.75361e-05	0.00169604082960526	ENSG00000214216	IQCJ
158	ENST00000457475	cervus_elaphus	1.793e-07	1.38073e-05	0.00136228937785235	ENSG00000058404	CAMK2B
159	ENST00000458385	cervus_elaphus	1e-09	7.96e-08	1.25427680851064e-05	ENSG00000164323	CFAP97
160	ENST00000458587	cervus_elaphus	9.5e-06	0.0005890015	0.0390041038355856	ENSG00000185825	BCAP31
161	ENST00000465503	cervus_elaphus	2e-10	1.8e-08	3.4365974025974e-06	ENSG00000109689	STIM2
162	ENST00000471889	cervus_elaphus	0	0	0	ENSG00000162426	SLC45A1
163	ENST00000472509	cervus_elaphus	8.908e-07	6.14636e-05	0.00525335106744186	ENSG00000106290	TAF6
164	ENST00000476993	cervus_elaphus	1.5937e-06	0.0001099665	0.00864501345721925	ENSG00000179403	VWA1
165	ENST00000479613	cervus_elaphus	0	0	0	ENSG00000171130	ATP6V0E2
166	ENST00000486160	cervus_elaphus	2.22e-08	1.5085e-06	0.000187936088983051	ENSG00000106976	DNM1
167	ENST00000486777	cervus_elaphus	0	0	0	ENSG00000135631	RAB11FIP5
168	ENST00000504120	cervus_elaphus	5.4e-08	3.0214e-06	0.000341673856923077	ENSG00000204970	PCDHA1
169	ENST00000514277	cervus_elaphus	8.28e-08	5.963e-06	0.000644573992647059	ENSG00000250067	YJEFN3
170	ENST00000522083	cervus_elaphus	3.7069e-06	0.000226119	0.0163752483694581	ENSG00000153140	CETN3
171	ENST00000529051	cervus_elaphus	1.4e-09	6.93e-08	1.131977e-05	ENSG00000149548	CCDC15
172	ENST00000529824	cervus_elaphus	1.2196e-06	8.65915e-05	0.00715158225561798	ENSG00000146426	TIAM2
173	ENST00000531114	cervus_elaphus	0	0	0	ENSG00000172367	NHERF4
174	ENST00000531205	cervus_elaphus	0	0	0	ENSG00000185187	SIGIRR
175	ENST00000533102	cervus_elaphus	0	0	0	ENSG00000149582	TMEM25
176	ENST00000534842	cervus_elaphus	0	0	0	ENSG00000182544	MFSD5
177	ENST00000535144	cervus_elaphus	1e-09	4.78e-08	8.17102093023256e-06	ENSG00000177239	MAN1B1
178	ENST00000537806	cervus_elaphus	4.2584e-06	0.0002555042	0.0181457354792271	ENSG00000166333	ILK
179	ENST00000538336	cervus_elaphus	2.0976e-06	0.0001552224	0.01188502345	ENSG00000122642	FKBP9
180	ENST00000542042	cervus_elaphus	0	0	0	ENSG00000008283	CYB561
181	ENST00000543262	cervus_elaphus	1.4898e-06	0.0001057778	0.00849748326666667	ENSG00000151376	ME3
182	ENST00000545030	cervus_elaphus	1.4483e-06	9.99307e-05	0.00811647083259668	ENSG00000135625	EGR4
183	ENST00000545862	cervus_elaphus	2e-10	8e-09	1.75534328358209e-06	ENSG00000183048	SLC25A10
184	ENST00000546588	cervus_elaphus	1.17e-08	8.16e-07	0.000104313182608696	ENSG00000111237	VPS29
185	ENST00000548577	cervus_elaphus	5e-09	3.481e-07	4.78263373831776e-05	ENSG00000219200	RNASEK
186	ENST00000550952	cervus_elaphus	1e-10	9.9e-09	2.04985774647887e-06	ENSG00000196531	NACA
187	ENST00000551245	cervus_elaphus	5e-10	2.99e-08	5.36048658536585e-06	ENSG00000135451	TROAP
188	ENST00000552150	cervus_elaphus	1.279e-07	6.6522e-06	0.000698528515714286	ENSG00000170421	KRT8
189	ENST00000554723	cervus_elaphus	0	1e-10	2.67290909090909e-08	ENSG00000140093	SERPINA10
190	ENST00000557224	cervus_elaphus	5.501e-07	3.74038e-05	0.00337345560613497	ENSG00000049768	FOXP3
191	ENST00000557431	cervus_elaphus	9.354e-07	5.33197e-05	0.00466579112916667	ENSG00000119705	SLIRP
192	ENST00000561096	cervus_elaphus	1.01664e-05	0.0005184849	0.0349644335545872	ENSG00000105419	MEIS3
193	ENST00000567949	cervus_elaphus	3.88e-08	2.6741e-06	0.000309542866929134	ENSG00000174177	CTU2
194	ENST00000569532	cervus_elaphus	2.34e-08	1.593e-06	0.000196795739495798	ENSG00000170537	TMC7
195	ENST00000570156	cervus_elaphus	0	0	0	ENSG00000154358	OBSCN
196	ENST00000575245	cervus_elaphus	1.0646e-06	7.34569e-05	0.00613573799375	ENSG00000175866	BAIAP2
197	ENST00000580059	cervus_elaphus	8.308e-07	5.73224e-05	0.00492805030643275	ENSG00000134504	KCTD1
198	ENST00000580611	cervus_elaphus	2.5e-08	1.7233e-06	0.000205969376422764	ENSG00000131748	STARD3
199	ENST00000584347	cervus_elaphus	2.5979e-06	0.0001324914	0.0103055876793651	ENSG00000169689	CENPX
200	ENST00000586582	cervus_elaphus	2e-10	1.36e-08	2.70180540540541e-06	ENSG00000167680	SEMA6B
201	ENST00000587686	cervus_elaphus	0	0	0	ENSG00000105289	TJP3
202	ENST00000588734	cervus_elaphus	1.05e-08	7.462e-07	9.70786389380531e-05	ENSG00000167900	TK1
203	ENST00000590016	cervus_elaphus	6e-09	4.408e-07	5.94513834862385e-05	ENSG00000185379	RAD51D
204	ENST00000598585	cervus_elaphus	1.222e-07	6.1124e-06	0.000655900674452555	ENSG00000161671	EMC10
205	ENST00000610546	cervus_elaphus	1.082e-07	8.3283e-06	0.000850238460416667	ENSG00000135473	PAN2
206	ENST00000611880	cervus_elaphus	5.2e-09	3.288e-07	4.60351314285714e-05	ENSG00000133460	SLC2A11
207	ENST00000612124	cervus_elaphus	1.0006e-06	4.50263e-05	0.00396366249281437	ENSG00000155833	CYLC2
208	ENST00000612778	cervus_elaphus	1.5019e-06	9.01138e-05	0.00735979429888889	ENSG00000185499	MUC1
209	ENST00000613058	cervus_elaphus	9.292e-07	6.78333e-05	0.00573113415689655	ENSG00000163798	SLC4A1AP
210	ENST00000615916	cervus_elaphus	7.739e-07	5.6493e-05	0.00488531525294118	ENSG00000121766	ZCCHC17
211	ENST00000618182	cervus_elaphus	0	0	0	ENSG00000078814	MYH7B
212	ENST00000620338	cervus_elaphus	2.537e-06	0.0001750503	0.0131296656137755	ENSG00000102977	ACD
213	ENST00000620755	cervus_elaphus	2.53e-08	1.7215e-06	0.000205969376422764	ENSG00000103512	NOMO1
214	ENST00000622483	cervus_elaphus	0	0	0	ENSG00000140479	PCSK6
215	ENST00000623662	cervus_elaphus	3.45e-07	1.79375e-05	0.00172352410130719	ENSG00000277758	SYT15B
216	ENST00000630330	cervus_elaphus	3e-10	1.68e-08	3.24969473684211e-06	ENSG00000173166	RAPH1
217	ENST00000635765	cervus_elaphus	2.9e-09	2.233e-07	3.21836598039216e-05	ENSG00000165868	HSPA12A
218	ENST00000637680	cervus_elaphus	5.33e-08	3.4134e-06	0.000380154495454545	ENSG00000268655	SAXO3
219	ENST00000639629	cervus_elaphus	0	0	0	ENSG00000216937	CCDC7
220	ENST00000642316	cervus_elaphus	9.62e-08	6.4441e-06	0.000686483435507246	ENSG00000105357	MYH14
221	ENST00000643116	cervus_elaphus	4.309e-07	3.23201e-05	0.00293294932160494	ENSG00000065000	AP3D1
222	ENST00000644105	cervus_elaphus	1.487e-07	6.543e-06	0.000692004625899281	ENSG00000184788	SATL1
223	ENST00000647633	cervus_elaphus	1.3917e-06	8.90707e-05	0.00731524223854749	ENSG00000168477	TNXB
224	ENST00000649178	cervus_elaphus	0	1e-10	2.67290909090909e-08	ENSG00000102393	GLA
225	ENST00000651776	cervus_elaphus	3.1428e-06	0.0002137119	0.0157878323713568	ENSG00000156050	FAM161B
226	ENST00000652268	cervus_elaphus	2.303e-07	1.61227e-05	0.00158013208466667	ENSG00000172007	RAB33B
227	ENST00000676302	cervus_elaphus	0	0	0	ENSG00000188158	NHS
228	ENST00000011653	mus_musculus	1.2e-09	8.95e-08	2.16234632352941e-05	ENSG00000010610	CD4
229	ENST00000026218	mus_musculus	1.143e-07	5.1435e-06	0.000616807018248175	ENSG00000007541	PIGQ
230	ENST00000199447	mus_musculus	2.36e-08	1.7708e-06	0.000244474564705882	ENSG00000086288	NME8
231	ENST00000200453	mus_musculus	4.3794e-06	0.0002364886	0.0161886300391667	ENSG00000087074	PPP1R15A
232	ENST00000216180	mus_musculus	3.17e-08	2.0634e-06	0.000277865562295082	ENSG00000100344	PNPLA3
233	ENST00000217026	mus_musculus	2.846e-07	2.19168e-05	0.00198345872692308	ENSG00000101057	MYBL2
234	ENST00000219022	mus_musculus	1.17418e-05	0.0007514765	0.0434718571073944	ENSG00000102837	OLFM4
235	ENST00000225275	mus_musculus	3.057e-07	2.10908e-05	0.00194592785698324	ENSG00000005381	MPO
236	ENST00000225576	mus_musculus	7.357e-07	3.53118e-05	0.00298209940358974	ENSG00000175106	TVP23C
237	ENST00000230301	mus_musculus	3.528e-07	2.57523e-05	0.00228399314462366	ENSG00000112539	C6orf118
238	ENST00000243706	mus_musculus	3.2283e-06	0.0002227493	0.01537625315	ENSG00000214367	HAUS3
239	ENST00000244174	mus_musculus	1.171e-07	6.9069e-06	0.000777215480136986	ENSG00000124334	IL9R
240	ENST00000245957	mus_musculus	5.201e-07	3.9527e-05	0.00326326172361809	ENSG00000089101	CFAP61
241	ENST00000246190	mus_musculus	5.205e-07	3.53953e-05	0.00298209940358974	ENSG00000125967	NECAB3
242	ENST00000252244	mus_musculus	1.38e-08	1.0213e-06	0.000153935208256881	ENSG00000167768	KRT1
243	ENST00000254691	mus_musculus	2.5e-09	1.628e-07	3.47356e-05	ENSG00000132357	CARD6
244	ENST00000255006	mus_musculus	1.1223e-06	8.30478e-05	0.00625868030366972	ENSG00000132669	RIN2
245	ENST00000255008	mus_musculus	1.0168e-06	5.08389e-05	0.00407430384439024	ENSG00000132671	SSTR4
246	ENST00000255409	mus_musculus	1.0102e-06	7.07118e-05	0.00545410404788732	ENSG00000133048	CHI3L1
247	ENST00000262305	mus_musculus	0	0	0	ENSG00000090565	RAB11FIP3
248	ENST00000262640	mus_musculus	3.513e-07	2.14293e-05	0.00195589983166667	ENSG00000124333	VAMP7
249	ENST00000263012	mus_musculus	1.935e-07	1.3155e-05	0.00130983936363636	ENSG00000103226	NOMO3
250	ENST00000263116	mus_musculus	5e-10	3.76e-08	1.08373754385965e-05	ENSG00000100228	RAB36
251	ENST00000263408	mus_musculus	4.333e-07	3.16316e-05	0.00272081443141361	ENSG00000113600	C9
252	ENST00000264382	mus_musculus	1.06166e-05	0.0007325452	0.0428291284370107	ENSG00000090402	SI
253	ENST00000267803	mus_musculus	9e-10	6.43e-08	1.65060109375e-05	ENSG00000140254	DUOXA1
254	ENST00000269576	mus_musculus	2.033e-07	1.42287e-05	0.0014082127246988	ENSG00000186395	KRT10
255	ENST00000274054	mus_musculus	2.35e-08	1.6434e-06	0.000234777553043478	ENSG00000145414	NAF1
256	ENST00000275015	mus_musculus	1.01698e-05	0.0006610341	0.0400056055720588	ENSG00000146232	NFKBIE
257	ENST00000275766	mus_musculus	2.79e-08	1.8677e-06	0.000253590440495868	ENSG00000146858	ZC3HAV1L
258	ENST00000281581	mus_musculus	5e-10	3.16e-08	9.43920727272727e-06	ENSG00000151838	CCDC175
259	ENST00000282120	mus_musculus	0	0	0	ENSG00000152291	TGOLN2
260	ENST00000286835	mus_musculus	5.238e-06	0.0004033229	0.0255837526027027	ENSG00000156304	SCAF4
